data_geracao;data_alvo;cidade;dias_a_frente;temp_min_prev;temp_max_prev;temp_media_prev;precipitacao_mm_prev;neve_cm_prev;neve_prev;granizo_prev;tempestade_prev;geada_prev
2026-06-21;2026-06-22;Chapeco;1;7.6;17.4;13.2;26.0;0;0;0;1;0
2026-06-21;2026-06-23;Chapeco;2;3.3;10.9;6.8;0.0;0;0;0;0;0
2026-06-21;2026-06-24;Chapeco;3;1.8;11.0;5.8;0.0;0;0;0;0;0
2026-06-21;2026-06-25;Chapeco;4;0.6;14.1;6.8;0.0;0;0;0;0;0
2026-06-21;2026-06-26;Chapeco;5;1.7;16.5;8.3;0.0;0;0;0;0;0
2026-06-21;2026-06-27;Chapeco;6;6.0;19.0;13.0;19.0;0;0;0;1;0
2026-06-21;2026-06-28;Chapeco;7;9.4;17.9;14.0;9.2;0;0;0;0;0
2026-06-22;2026-06-23;Sao Jose;1;9.1;15.8;13.5;0.7;0;0;0;0;0
2026-06-22;2026-06-24;Sao Jose;2;6.1;16.5;10.4;0.0;0;0;0;0;0
2026-06-22;2026-06-25;Sao Jose;3;3.8;16.7;9.9;0.0;0;0;0;0;0
2026-06-22;2026-06-26;Sao Jose;4;6.2;20.8;12.1;0.0;0;0;0;0;0
2026-06-22;2026-06-27;Sao Jose;5;12.2;17.4;15.2;3.2;0;0;0;0;0
2026-06-22;2026-06-28;Sao Jose;6;16.2;21.9;18.6;4.1;0;0;0;0;0
2026-06-22;2026-06-29;Sao Jose;7;12.6;16.3;14.1;11.0;0;0;0;1;0
2026-06-22;2026-06-23;Lages;1;2.2;9.6;6.1;0.0;0;0;0;0;0
2026-06-22;2026-06-24;Lages;2;-0.8;9.3;3.4;0.0;0;0;0;0;1
2026-06-22;2026-06-25;Lages;3;-1.2;12.6;4.8;0.0;0;0;0;0;1
2026-06-22;2026-06-26;Lages;4;0.7;15.8;7.1;0.0;0;0;0;0;0
2026-06-22;2026-06-27;Lages;5;5.0;15.8;10.8;0.0;0;0;0;0;0
2026-06-22;2026-06-28;Lages;6;12.2;15.9;14.2;24.6;0;0;0;1;0
2026-06-22;2026-06-29;Lages;7;6.1;14.2;10.8;6.0;0;0;0;0;0
2026-06-22;2026-06-23;Chapeco;1;4.2;10.1;6.8;0.0;0;0;0;0;0
2026-06-22;2026-06-24;Chapeco;2;1.7;10.5;5.4;0.0;0;0;0;0;0
2026-06-22;2026-06-25;Chapeco;3;-0.3;13.1;6.2;0.0;0;0;0;0;1
2026-06-22;2026-06-26;Chapeco;4;1.4;16.6;8.4;0.0;0;0;0;0;0
2026-06-22;2026-06-27;Chapeco;5;4.7;22.1;13.1;2.2;0;0;0;0;0
2026-06-22;2026-06-28;Chapeco;6;12.7;17.5;15.6;30.7;0;0;0;1;0
2026-06-22;2026-06-29;Chapeco;7;7.0;14.8;10.9;0.4;0;0;0;0;0
2026-06-23;2026-06-24;Sao Jose;1;6.1;15.9;10.4;0.0;0;0;0;0;0
2026-06-23;2026-06-25;Sao Jose;2;3.8;16.8;10.0;0.0;0;0;0;0;0
2026-06-23;2026-06-26;Sao Jose;3;6.6;21.1;12.9;0.0;0;0;0;0;0
2026-06-23;2026-06-27;Sao Jose;4;13.5;17.8;15.7;6.3;0;0;0;0;0
2026-06-23;2026-06-28;Sao Jose;5;15.9;20.8;18.1;0.6;0;0;0;0;0
2026-06-23;2026-06-29;Sao Jose;6;15.0;20.2;18.3;6.6;0;0;0;0;0
2026-06-23;2026-06-30;Sao Jose;7;13.8;17.7;15.3;0.0;0;0;0;0;0
2026-06-23;2026-06-24;Lages;1;-0.8;9.6;3.5;0.0;0;0;0;0;1
2026-06-23;2026-06-25;Lages;2;-1.0;12.9;5.0;0.0;0;0;0;0;1
2026-06-23;2026-06-26;Lages;3;0.7;15.6;7.1;0.0;0;0;0;0;0
2026-06-23;2026-06-27;Lages;4;5.4;15.2;11.1;0.0;0;0;0;0;0
2026-06-23;2026-06-28;Lages;5;12.3;17.2;14.4;1.5;0;0;0;0;0
2026-06-23;2026-06-29;Lages;6;3.8;14.6;11.1;10.8;0;0;0;0;0
2026-06-23;2026-06-30;Lages;7;1.0;14.4;7.1;0.0;0;0;0;0;0
2026-06-23;2026-06-24;Chapeco;1;1.8;10.7;5.7;0.0;0;0;0;0;0
2026-06-23;2026-06-25;Chapeco;2;0.2;13.4;6.4;0.0;0;0;0;0;0
2026-06-23;2026-06-26;Chapeco;3;2.1;17.2;8.7;0.0;0;0;0;0;0
2026-06-23;2026-06-27;Chapeco;4;4.9;21.5;12.5;2.0;0;0;0;0;0
2026-06-23;2026-06-28;Chapeco;5;13.9;23.0;17.5;11.9;0;0;1;1;0
2026-06-23;2026-06-29;Chapeco;6;4.2;14.2;9.4;31.4;0;0;1;1;0
2026-06-23;2026-06-30;Chapeco;7;2.9;18.5;9.3;0.0;0;0;0;0;0
2026-06-24;2026-06-25;Sao Jose;1;3.9;16.7;9.7;0.0;0;0;0;0;0
2026-06-24;2026-06-26;Sao Jose;2;6.3;20.8;12.7;0.0;0;0;0;0;0
2026-06-24;2026-06-27;Sao Jose;3;12.5;20.8;16.7;0.0;0;0;0;0;0
2026-06-24;2026-06-28;Sao Jose;4;16.0;22.0;18.4;0.3;0;0;0;0;0
2026-06-24;2026-06-29;Sao Jose;5;12.6;19.0;16.4;1.5;0;0;0;0;0
2026-06-24;2026-06-30;Sao Jose;6;12.0;16.9;15.1;0.0;0;0;0;0;0
2026-06-24;2026-07-01;Sao Jose;7;12.4;15.4;14.2;0.0;0;0;0;0;0
2026-06-24;2026-06-25;Lages;1;-0.9;13.0;5.1;0.0;0;0;0;0;1
2026-06-24;2026-06-26;Lages;2;1.0;15.4;7.2;0.0;0;0;0;0;0
2026-06-24;2026-06-27;Lages;3;5.6;17.5;11.6;0.0;0;0;0;0;0
2026-06-24;2026-06-28;Lages;4;12.6;18.3;14.7;9.4;0;0;0;1;0
2026-06-24;2026-06-29;Lages;5;5.7;15.1;10.3;4.7;0;0;0;1;0
2026-06-24;2026-06-30;Lages;6;5.8;14.9;10.3;0.0;0;0;0;0;0
2026-06-24;2026-07-01;Lages;7;6.0;14.6;8.7;0.0;0;0;0;0;0
2026-06-24;2026-06-25;Chapeco;1;0.9;15.0;7.3;0.0;0;0;0;0;0
2026-06-24;2026-06-26;Chapeco;2;2.6;18.0;9.5;0.0;0;0;0;0;0
2026-06-24;2026-06-27;Chapeco;3;5.6;21.5;12.7;8.2;0;0;0;1;0
2026-06-24;2026-06-28;Chapeco;4;13.4;23.2;17.3;31.5;0;0;0;1;0
2026-06-24;2026-06-29;Chapeco;5;7.2;14.1;10.4;1.3;0;0;0;0;0
2026-06-24;2026-06-30;Chapeco;6;6.5;16.1;11.5;0.0;0;0;0;0;0
2026-06-24;2026-07-01;Chapeco;7;7.2;15.0;9.9;0.0;0;0;0;0;0
2026-06-25;2026-06-26;Sao Jose;1;5.2;19.2;11.9;0.0;0;0;0;0;0
2026-06-25;2026-06-27;Sao Jose;2;10.0;21.9;15.4;0.1;0;0;0;0;0
2026-06-25;2026-06-28;Sao Jose;3;12.8;21.2;16.6;0.1;0;0;0;0;0
2026-06-25;2026-06-29;Sao Jose;4;13.7;16.8;15.5;35.5;0;0;0;1;0
2026-06-25;2026-06-30;Sao Jose;5;13.8;18.9;15.3;12.8;0;0;0;1;0
2026-06-25;2026-07-01;Sao Jose;6;13.1;23.4;17.4;1.2;0;0;0;0;0
2026-06-25;2026-07-02;Sao Jose;7;15.7;19.9;17.1;0.6;0;0;0;0;0
2026-06-25;2026-06-26;Lages;1;0.5;15.9;7.4;0.0;0;0;0;0;0
2026-06-25;2026-06-27;Lages;2;5.3;18.6;11.4;3.7;0;0;0;0;0
2026-06-25;2026-06-28;Lages;3;11.0;16.2;13.4;22.7;0;0;1;1;0
2026-06-25;2026-06-29;Lages;4;11.5;17.0;14.3;15.9;0;0;0;0;0
2026-06-25;2026-06-30;Lages;5;9.8;13.9;11.8;37.3;0;0;1;1;0
2026-06-25;2026-07-01;Lages;6;12.4;18.7;15.1;14.0;0;0;0;1;0
2026-06-25;2026-07-02;Lages;7;13.2;17.5;14.7;14.8;0;0;0;1;0
2026-06-25;2026-06-26;Chapeco;1;2.1;17.7;9.3;0.0;0;0;0;0;0
2026-06-25;2026-06-27;Chapeco;2;7.4;21.1;13.5;2.3;0;0;0;0;0
2026-06-25;2026-06-28;Chapeco;3;14.7;18.3;15.9;34.1;0;0;1;1;0
2026-06-25;2026-06-29;Chapeco;4;13.5;16.1;14.6;3.2;0;0;0;0;0
2026-06-25;2026-06-30;Chapeco;5;12.8;18.7;15.6;14.0;0;0;0;1;0
2026-06-25;2026-07-01;Chapeco;6;15.5;18.9;17.2;10.2;0;0;0;1;0
2026-06-25;2026-07-02;Chapeco;7;15.5;19.1;16.8;36.6;0;0;1;1;0
2026-06-26;2026-06-27;Sao Jose;1;8.3;21.3;14.2;0.2;0;0;0;0;0
2026-06-26;2026-06-28;Sao Jose;2;13.1;21.7;16.8;3.5;0;0;0;1;0
2026-06-26;2026-06-29;Sao Jose;3;14.8;18.0;16.2;22.4;0;0;1;1;0
2026-06-26;2026-06-30;Sao Jose;4;14.8;18.2;16.0;14.5;0;0;0;1;0
2026-06-26;2026-07-01;Sao Jose;5;14.6;22.7;17.7;46.1;0;0;1;1;0
